scheme,family,mask,sampling,segmentation,flag_scope,msig,segmentation_type,segmentation_backend,segmentation_max_words,segmentation_window,generation_num_candidates,stage,z_source,attack,attack_family,attack_setting,K,surrogate,anchor,attacker_model,attacker_seg,candidate_agg,bag_agg,dipper_lex,dipper_order,n_samples,n_sets,datasets,thr10,thr5,thr1,auroc,TPR_at10,TPR_at5,TPR_at1,evade_rate_at5,mean_z,mean_z_wm,mean_z_drop,provider_draws_per_unit,provider_draws_per_unit_ci_lo_95,provider_draws_per_unit_ci_hi_95,provider_units_total,provider_sentences_total,provider_units_per_sentence,provider_draws_per_sentence,provider_draws_per_sentence_ci_lo_95,provider_draws_per_sentence_ci_hi_95,ASR_at5_q50,ASR_at5_q55,ASR_at5_q60,ASR_at5_q65,ASR_at5_q70,ASR_at5_q75,ASR_at5_q80,ASR_at5_q85,ASR_at5_q90,ASR_at5_q95,ASR_at5_q100,ASR_at5,ASR_at1_q50,ASR_at1_q55,ASR_at1_q60,ASR_at1_q65,ASR_at1_q70,ASR_at1_q75,ASR_at1_q80,ASR_at1_q85,ASR_at1_q90,ASR_at1_q95,ASR_at1_q100,ASR_at1,evade_rate_at1,quality_pass_rate,4g_repeat_pct,4g_repeat_pct_ci,4g_repeat_pct_median,anchor_coverage,anchor_coverage_ci,anchor_coverage_median,anchor_merge,anchor_merge_ci,anchor_merge_median,anchor_n_anchors,anchor_n_anchors_ci,anchor_n_anchors_median,anchor_reorder,anchor_reorder_ci,anchor_reorder_median,anchor_reseg,anchor_reseg_ci,anchor_reseg_median,anchor_reword,anchor_reword_ci,anchor_reword_median,anchor_reword_novel,anchor_reword_novel_ci,anchor_reword_novel_median,anchor_split,anchor_split_ci,anchor_split_median,bert_F1,bert_F1_ci,bert_F1_median,bert_P,bert_P_ci,bert_P_median,bert_R,bert_R_ci,bert_R_median,distinct_2,distinct_2_ci,distinct_2_median,emb_sim,emb_sim_ci,emb_sim_median,gen_ppl,gen_ppl_ci,gen_ppl_median,llm_judge,llm_judge_ci,llm_judge_median,llm_judge_content_recall,llm_judge_content_recall_ci,llm_judge_content_recall_median,llm_judge_contradiction,llm_judge_contradiction_ci,llm_judge_contradiction_median,llm_judge_detail_precision,llm_judge_detail_precision_ci,llm_judge_detail_precision_median,llm_judge_information_injection,llm_judge_information_injection_ci,llm_judge_information_injection_median,llm_quality,llm_quality_ci,llm_quality_median,llm_quality_coherence,llm_quality_coherence_ci,llm_quality_coherence_median,llm_quality_fluency,llm_quality_fluency_ci,llm_quality_fluency_median,llm_quality_informativeness,llm_quality_informativeness_ci,llm_quality_informativeness_median,llm_quality_relevance,llm_quality_relevance_ci,llm_quality_relevance_median,rep_2,rep_2_ci,rep_2_median,rep_3,rep_3_ci,rep_3_median,rep_4,rep_4_ci,rep_4_median,rouge1,rouge1_ci,rouge1_median,rouge2,rouge2_ci,rouge2_median,rougeL,rougeL_ci,rougeL_median,sent_dup_pct,sent_dup_pct_ci,sent_dup_pct_median,gen_ppl_total_nll,gen_ppl_scored_tokens,bi_entro,tri_entro,sem_ent,mauve,bleu,FPR_at10,FPR_at5,FPR_at1,null_sd,null_q90,null_q95,null_q99
No watermark,none,none,rejection,sentence-nltk,,,sentence,nltk,,,1.0,watermark,unavailable,none,none,none,,,,,,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,,,,,,,,,,,,1.0,1.0,1.0,7625.0,7486.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3073041088874324,0.4301420521336834,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9599181369766904,0.0047009816331714,0.9751809455366768,,,,6.928027055300534,0.5071917507630817,7.404523372650146,,,,,,,,,,,,,,,,0.8486653645833334,0.0145695336461391,0.9666666666666668,0.8520182291666667,0.0160241776645278,1.0,0.9220052083333334,0.0112131577050937,1.0,0.7779296875,0.0181104864403179,0.9333333333333332,0.8427083333333334,0.0178922151585102,1.0,0.0606232199783215,0.0049570233582121,0.0433997802542771,0.0272977688921264,0.0045620573149836,0.0087337909992372,0.01759739713394,0.0043755562118669,0.0,,,,,,,,,,1.3051562981934262,0.4694592597876812,0.0,347238.29756736755,179398.0,10.204601153816425,10.88102917570263,2.690273175838481,0.2951254715632034,,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K1,adaptive,K1-positional-bge,1.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.9271980637302648,0.7802734375,0.6982421875,0.5185546875,0.3017578125,2.4737543391902364,5.477942886180244,3.004188546990008,,,,,,,,,,0.3017578125,0.3017578125,0.30078125,0.2998046875,0.296875,0.294921875,0.2802734375,0.26953125,0.23828125,0.1728515625,0.091796875,0.2802734375,0.4814453125,0.4814453125,0.48046875,0.478515625,0.4716796875,0.46484375,0.447265625,0.4296875,0.3876953125,0.28515625,0.1533203125,0.447265625,0.4814453125,0.9443359375,0.4253122344061388,0.1152417649809173,0.0,0.5632341040793117,0.0077800025367113,0.5641025641025641,0.125132667419641,0.0072954288827754,0.0909090909090909,61.6513671875,1.4262452615381278,60.0,0.0400891435827184,0.0026033375839992,0.0283132530120481,0.108732791728555,0.005756805050851,0.0909090909090909,0.2781337854633277,0.004968951285077,0.2711680576491783,0.5214290872465818,0.0071650568164413,0.5229597813354159,0.0798737549317097,0.0064415017268888,0.0,0.939320046454668,0.0012874399531841,0.9410748183727264,0.9441961700213142,0.001141486520993,0.9458960294723512,0.9345836016582324,0.0015153339059534,0.9370700418949128,0.9622540135328174,0.0022384825780192,0.9687581699346406,0.9710015580058098,0.0011386319461271,0.9749145209789276,8.789905121571241,0.2664302517191774,9.071988105773926,0.9460286458333332,0.0045221029193701,0.9666666666666668,0.9593098958333334,0.0045541223884574,1.0,0.0143880208333333,0.0040807028340813,0.0,0.9319010416666668,0.0069415967370187,1.0,0.0927083333333333,0.007909852397474,0.0,,,,,,,,,,,,,,,,0.0721799271708027,0.0029646794120257,0.0637030894366321,0.0250578418274678,0.0021296579630876,0.0157981431566337,0.0117956941190601,0.0016715636412597,0.0035650737163192,0.7218662145366724,0.004968951285077,0.7288319423508217,0.46217242376078,0.0073216055959459,0.4577556623198352,0.6035784916771691,0.0069787295225557,0.6065962240696139,0.2878617307970721,0.1602683789349407,0.0,568997.3391685779,261776.0,10.37094130023084,11.136838051820533,2.485127718435668,0.9376055030404624,0.3050246365790066,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K16,adaptive,K16-positional-bge,16.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.7822100452437217,0.416015625,0.291015625,0.1064453125,0.708984375,1.165752348049267,5.4939847488712985,4.328232400822031,,,,,,,,,,0.70703125,0.70703125,0.703125,0.69921875,0.681640625,0.6591796875,0.6103515625,0.552734375,0.4609375,0.2958984375,0.12109375,0.6103515625,0.890625,0.890625,0.8857421875,0.8818359375,0.859375,0.83203125,0.767578125,0.69921875,0.578125,0.3701171875,0.1494140625,0.767578125,0.8935546875,0.85546875,0.735187933821656,0.2542983336471016,0.0,0.4729470174161183,0.0076461486519839,0.4702941176470588,0.160334776116487,0.0086243060458163,0.1428571428571428,51.2744140625,1.1628632087693698,50.0,0.0739294213537138,0.0045143890655631,0.0571428571428571,0.1462396833444128,0.0062491400787769,0.1346153846153847,0.3504922055369154,0.0055919970813044,0.339985663225177,0.6055346065252856,0.0062713607774313,0.6046511627906976,0.1089225017321717,0.0074361423086302,0.1,0.9197695345501417,0.0014793526304986,0.9218800961971284,0.9255673689767718,0.0015391933872109,0.9287685751914978,0.9143015187582932,0.0016686898371372,0.9161967039108276,0.9626042620160592,0.0032973791059364,0.97316721952223,0.953778013761621,0.0016650406020154,0.9597915709018708,9.848744739954672,0.3176121026157256,10.2331862449646,0.902587890625,0.0058405055233006,0.9333333333333332,0.9149739583333334,0.0067128517073199,0.9333333333333332,0.0220052083333333,0.0049045709972525,0.0,0.8767578125,0.0093046957258367,0.9333333333333332,0.159375,0.0100053822733569,0.1333333333333333,,,,,,,,,,,,,,,,0.0717139586317407,0.0039540875584206,0.0596051256668316,0.0276967669507062,0.0033383407163102,0.0148150180386562,0.0153463139288855,0.0029970098608538,0.0033444816053511,0.6495077944630845,0.0055919970813044,0.660014336774823,0.3655989695460332,0.0063830131230195,0.3636363636363636,0.4946418707131514,0.0069704846271093,0.4983572422596813,0.6722596835527573,0.3406270612708517,0.0,563779.97677233,246478.0,10.305180137144356,11.039192273344137,2.4955857166190643,0.6618405491107919,0.2077330672149798,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K2,adaptive,K2-positional-bge,2.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.8879642054698212,0.6982421875,0.5791015625,0.34765625,0.4208984375,1.8996468828827344,5.491929426163551,3.5922825432808168,,,,,,,,,,0.4208984375,0.4208984375,0.4208984375,0.4208984375,0.419921875,0.4130859375,0.392578125,0.369140625,0.314453125,0.2275390625,0.134765625,0.392578125,0.65234375,0.6513671875,0.6513671875,0.650390625,0.6484375,0.6376953125,0.6083984375,0.576171875,0.4931640625,0.359375,0.1982421875,0.6083984375,0.65234375,0.9365234375,0.5151053595922207,0.1842343438091735,0.0,0.5353858892265468,0.0073681010500007,0.5307382212144117,0.1441380064053913,0.0075916028009819,0.125,58.34765625,1.2893662848394751,57.0,0.0480019185611932,0.0030427153976514,0.0356718192627824,0.127076173451279,0.0062047169302474,0.111111111111111,0.2997895626509412,0.0047602640043163,0.2960935242510129,0.5535071561321346,0.0065931379725574,0.5574277975164457,0.0928066259135281,0.0070522583654613,0.0833333333333333,0.9339799522422254,0.0012357004172792,0.934751570224762,0.9394613235490396,0.0011227382819208,0.9404628276824952,0.9286690533626824,0.0014610610499361,0.929760217666626,0.9626387543561056,0.0026283478660829,0.9706599713055954,0.9667048430419528,0.0011563285280597,0.9707200527191162,9.10003334431046,0.2997177994420077,9.35342025756836,0.9379231770833332,0.0045731238111923,0.9666666666666668,0.9527994791666669,0.0047441630143193,1.0,0.0141927083333333,0.0040812755490807,0.0,0.9169270833333334,0.0073513126181468,1.0,0.1038411458333333,0.0083858984158943,0.0666666666666666,,,,,,,,,,,,,,,,0.0715005043343485,0.003370374304769,0.063768115942029,0.0257153401222311,0.0027151796235642,0.0150489174744088,0.0129379304802031,0.0023871843850006,0.0037736386420597,0.7002104373490587,0.0047602640043163,0.703906475748987,0.4271429255831569,0.0066629058432179,0.419753086419753,0.5712090230055882,0.0065699304937961,0.573418394471026,0.4165395260114682,0.2551312917734344,0.0,566127.4176743119,256366.0,10.355671545798335,11.112033634234006,2.473551499811677,0.947745400763082,0.2663909770607156,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K32,adaptive,K32-positional-bge,32.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.7639415611445914,0.3818359375,0.2685546875,0.1064453125,0.7314453125,1.093472027216194,5.4701092038012575,4.376637176585064,,,,,,,,,,0.728515625,0.7275390625,0.7236328125,0.7099609375,0.6875,0.66015625,0.58984375,0.5361328125,0.4140625,0.2470703125,0.09375,0.58984375,0.890625,0.8896484375,0.884765625,0.8701171875,0.845703125,0.814453125,0.734375,0.666015625,0.51171875,0.310546875,0.119140625,0.734375,0.8935546875,0.8193359375,0.5890165618122585,0.2032733207305812,0.0,0.4590609565921401,0.007434511687567,0.4556139287398127,0.1630708012196748,0.0090328825259866,0.1666666666666666,49.8916015625,1.1590909192201206,48.0,0.0864357378908071,0.004849108155032,0.0666049953746531,0.1536416822253191,0.0071303823645292,0.1428571428571429,0.3628400053560966,0.0052415572776464,0.3593282185628743,0.6227620846401312,0.0061565338166956,0.6297498797498797,0.1174304246421745,0.0077367445099588,0.1,0.916438172396738,0.0014101357899063,0.917866200208664,0.9221517753903754,0.0015111269782032,0.925207644701004,0.911063571809791,0.0015777067310127,0.9122387170791626,0.963472472261923,0.0029310498809748,0.9751662922338222,0.949883487308398,0.001771333928919,0.9561630189418792,10.210804231526348,0.3401998511521767,10.670979022979736,0.8893391927083333,0.0060720746467213,0.9166666666666666,0.9037760416666668,0.0068577632915681,0.9333333333333332,0.0281901041666666,0.0059894917051299,0.0,0.8573567708333334,0.0097685003305622,0.9333333333333332,0.1755859375,0.0102997884399125,0.1333333333333333,,,,,,,,,,,,,,,,0.0713453746293238,0.0040199220081511,0.0585475719622061,0.0273919616845688,0.0032987627439,0.0139130855594269,0.0149420852113049,0.002938347477493,0.0033278699417484,0.6371599946439033,0.0052415572776464,0.6406717814371257,0.3487018641978074,0.0059779436004787,0.3410991886212128,0.4737242927894777,0.0065125839805196,0.472267462902642,0.7161733926498588,0.3523169998453337,0.0,574567.3832271114,247291.0,10.298555806329748,11.04062551775692,2.423206117316127,0.5928483311640879,0.1958537355120152,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K4,adaptive,K4-positional-bge,4.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.8595472666685429,0.6025390625,0.4619140625,0.2353515625,0.5380859375,1.6000769942879742,5.486087492230581,3.886010497942607,,,,,,,,,,0.537109375,0.5361328125,0.53515625,0.5302734375,0.5234375,0.5166015625,0.48046875,0.44921875,0.3916015625,0.2841796875,0.150390625,0.48046875,0.763671875,0.7626953125,0.7607421875,0.7548828125,0.7451171875,0.736328125,0.685546875,0.640625,0.5556640625,0.392578125,0.201171875,0.685546875,0.7646484375,0.8974609375,0.6042430567396574,0.2319123348295622,0.0,0.5099760472061652,0.0077690581624886,0.5113636363636364,0.1561304785104981,0.0085542340905489,0.1428571428571428,55.4833984375,1.2748904060353825,54.0,0.0596057645375438,0.0039770579343854,0.0418454935622317,0.1374472161205117,0.0069677059867917,0.12,0.3204793680583837,0.0054112671720289,0.3123284374553466,0.5732401212616477,0.0067431747409044,0.5748792270531401,0.0988202139825172,0.007377902552083,0.0909090909090909,0.9285681729670614,0.0013884011438478,0.9297685027122498,0.9347765595302916,0.0013515795910683,0.9364203214645386,0.9226652525248936,0.0016354844526767,0.924830287694931,0.9624172175957963,0.0030759426911948,0.9714285714285714,0.9615093793836422,0.0014059480032286,0.9667995572090148,9.290083829770907,0.2829030455993146,9.68467140197754,0.9248860677083331,0.0052339928458699,0.95,0.9361328125,0.0057034808943381,1.0,0.0197916666666666,0.0050023849775527,0.0,0.905078125,0.0080878554182895,1.0,0.121875,0.0089923830663039,0.0666666666666666,,,,,,,,,,,,,,,,0.0704417085827441,0.0037456421888703,0.0608695652173912,0.0254217203078608,0.003091301457701,0.0145542806707855,0.0129972092668196,0.0027406444135849,0.0033389074693422,0.6795206319416163,0.0054112671720289,0.6876715625446533,0.4022346970237916,0.006897586792254,0.3983888744813278,0.5410430109123456,0.006985865201324,0.5442942942942943,0.4504112468008792,0.2612137914396035,0.0,557178.9414734505,249974.0,10.321934020100825,11.073312780239288,2.4778322501801022,0.8703849179209647,0.2407854163095503,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K64,adaptive,K64-positional-bge,64.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.7687813935991954,0.380859375,0.2470703125,0.087890625,0.7529296875,1.0721346120128032,5.481734894434339,4.409600282421536,,,,,,,,,,0.7509765625,0.744140625,0.73828125,0.7265625,0.708984375,0.67578125,0.603515625,0.5166015625,0.37890625,0.208984375,0.0703125,0.603515625,0.9091796875,0.9013671875,0.8935546875,0.8798828125,0.857421875,0.8154296875,0.724609375,0.6240234375,0.4658203125,0.255859375,0.08984375,0.724609375,0.912109375,0.7841796875,1.051980197955655,0.2980947738179536,0.0,0.4366676790562274,0.0076364680841799,0.4371966019417476,0.1673633149099292,0.009253220813033,0.1428571428571428,47.333984375,1.1342293074581729,45.5,0.0994693016013672,0.0055659275971623,0.077277970011534,0.1602040295600235,0.0074462309206601,0.1428571428571429,0.3841504429746365,0.0059179191540552,0.375518773233195,0.6426869956490038,0.0061515180112995,0.6444971037388099,0.1233962688213039,0.0082714521850283,0.1111111111111111,0.9110924677806906,0.0015213644343615,0.9132826328277588,0.9165313323028386,0.0016305929838273,0.9201250374317168,0.9060349160572514,0.0017161358623576,0.9084696173667908,0.9573489351327956,0.003936280260834,0.9720800311809796,0.9431090217258316,0.0026348906689408,0.9518941938877106,10.167575962424658,0.342428743613895,10.861298561096191,0.8724609375,0.0066450357912507,0.9,0.8880208333333335,0.0079090132962303,0.9333333333333332,0.0294921875,0.0058189010922096,0.0,0.8427083333333334,0.0104635072236766,0.8666666666666667,0.2113932291666667,0.0113108267810519,0.2,,,,,,,,,,,,,,,,0.0785790650078108,0.004986219605093,0.0599145299145299,0.0342539086523362,0.0042514156586209,0.0150263044999887,0.0208959424730151,0.0038550712107754,0.0035213013936418,0.6158495570253635,0.0059179191540552,0.624481226766805,0.3270423189978734,0.0059582649195121,0.3245283018867925,0.4439036922198155,0.0066020474519577,0.4465749414519906,1.0061016016134126,0.404685589033852,0.0,581888.2409150979,250900.0,10.287395762995487,11.02406250369566,2.4351941269674118,0.5413469814995939,0.1809899022277401,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K8,adaptive,K8-positional-bge,8.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.8140300505322939,0.482421875,0.345703125,0.1552734375,0.654296875,1.3424489163671751,5.483870753902011,4.141421837534836,,,,,,,,,,0.654296875,0.6533203125,0.650390625,0.64453125,0.6337890625,0.619140625,0.58203125,0.5341796875,0.4482421875,0.3115234375,0.119140625,0.58203125,0.8447265625,0.84375,0.8408203125,0.8330078125,0.8203125,0.802734375,0.75390625,0.6884765625,0.5712890625,0.390625,0.15234375,0.75390625,0.8447265625,0.8935546875,0.472973228554101,0.1909449453709421,0.0,0.4969463312963103,0.0074817427281287,0.4936708860759494,0.1543665171481038,0.0084247371055811,0.125,54.0703125,1.2230955690349126,53.0,0.0636226252010247,0.0038667481417352,0.048582995951417,0.1418093295255807,0.0069915766551066,0.1200000000000001,0.3329219029545076,0.0053809805267436,0.3240074997962012,0.5870712321263393,0.0063479837634715,0.5882352941176471,0.1052579081523035,0.0079789175972817,0.0833333333333333,0.9249806614825502,0.0013890357358318,0.9264828264713288,0.9309611418284476,0.0014202668767234,0.9325627982616423,0.9192962350789458,0.0015731196394729,0.921403795480728,0.96573399060192,0.0025999100502369,0.9739410915881505,0.9585022320970892,0.0014413331080722,0.9638225436210632,9.721878944439448,0.2958989266462637,10.055599212646484,0.9160319010416668,0.0053361506410729,0.9499999999999998,0.9320963541666668,0.0058245791958038,1.0,0.0186848958333333,0.0042517816136584,0.0,0.8895833333333334,0.0086735719256521,0.9333333333333332,0.1388671875,0.0092398635270266,0.0666666666666666,,,,,,,,,,,,,,,,0.0679091612931451,0.0035153306783479,0.0579710144927536,0.0246756738762961,0.0028516181940591,0.0136986301369863,0.0127086176680214,0.0025374862968911,0.0031797225704695,0.6670780970454924,0.0053809805267436,0.6759925002037988,0.3854006351236997,0.0064008247112703,0.3834474885844748,0.5218900374013157,0.0066953372275589,0.5233101499673984,0.6200976983783597,0.3576712066757851,0.0,563045.242175341,247560.0,10.325606076668974,11.062762990878117,2.502608863925567,0.7557842086326411,0.2259462690518661,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,dipper-l20-o20,dipper,lex20-order20,,,,,,,,20.0,20.0,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.9150066181972364,0.7431640625,0.640625,0.408203125,0.359375,2.090422946794206,5.470444341335679,3.3800213945414725,,,,,,,,,,0.359375,0.359375,0.3583984375,0.353515625,0.3408203125,0.3310546875,0.2890625,0.251953125,0.2041015625,0.1123046875,0.0390625,0.2890625,0.591796875,0.591796875,0.58984375,0.5830078125,0.564453125,0.5419921875,0.484375,0.423828125,0.3359375,0.1953125,0.080078125,0.484375,0.591796875,0.8359375,1.1355304158993145,0.2458209974655868,0.0,0.6479108345312452,0.006924329450051,0.6538461538461539,0.0837592309651133,0.0060835057203688,0.0833333333333333,70.99609375,1.4725331848365415,70.0,0.0411891160016935,0.0026443290112486,0.0341931103857118,0.0658344753343717,0.0050134104612419,0.0476190476190476,0.2007824015222975,0.0038691407703068,0.1961987248887284,0.3673213562660036,0.0058729770026501,0.3664835164835164,0.0379287188846012,0.0049365156450698,0.0,0.94776796316728,0.001108546328238,0.9508246183395386,0.9543327775900252,0.0009784294469103,0.9563845992088318,0.9413948904257268,0.0013474883933344,0.945355236530304,0.937234860624616,0.0034105528688214,0.947241902834008,0.9686110814800486,0.0013256955050052,0.9739895761013032,7.891386692086836,0.2768976663817257,8.016364574432373,0.8965169270833333,0.005629255891483,0.9166666666666666,0.8895833333333334,0.0069597800659796,0.9333333333333332,0.0139322916666666,0.0038029694955387,0.0,0.8287760416666667,0.0100862584357117,0.8666666666666667,0.118359375,0.0086408688664539,0.0666666666666666,,,,,,,,,,,,,,,,0.093313478579605,0.0038743919504453,0.0816326530612244,0.0359434462160357,0.0031795753119557,0.0231073607932875,0.0195117315707744,0.0027776131149456,0.0071306912067519,0.7992175984777025,0.0038691407703068,0.8038012751112715,0.5954462248149404,0.0059382358417654,0.5946078431372549,0.6643503787772905,0.0055515783900044,0.6646506815913369,0.5376914425435083,0.2163194251949524,0.0,540120.8453357567,261462.0,10.214036186689055,11.096702763498016,2.45296096015344,0.9792769915161426,0.4244206548312755,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,dipper-l20-o40,dipper,lex20-order40,,,,,,,,20.0,40.0,1024,3,c4-val-def-256|c4-val-def-256b|c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,0.8756241700851968,0.6494140625,0.50390625,0.2509765625,0.49609375,1.6512919185672104,5.478095418234261,3.826803499667051,,,,,,,,,,0.4951171875,0.4921875,0.4892578125,0.486328125,0.4775390625,0.4638671875,0.408203125,0.3515625,0.2685546875,0.162109375,0.0732421875,0.408203125,0.748046875,0.7451171875,0.7421875,0.7373046875,0.716796875,0.693359375,0.611328125,0.5322265625,0.4033203125,0.2412109375,0.1005859375,0.611328125,0.7490234375,0.826171875,1.3175357485113612,0.3223354590507137,0.0,0.6408664448398067,0.0070071041384833,0.6428571428571429,0.0798137565049329,0.0060353714457241,0.0833333333333333,70.177734375,1.454731927775237,71.0,0.0976760094191293,0.0043199144642379,0.0907491122754664,0.0629955826920351,0.0047585759412988,0.0476190476190476,0.2056318745985652,0.0042839755078048,0.1990978008260856,0.3799591989151731,0.0060359342719232,0.3729705866849402,0.0370040709356259,0.0047155810897396,0.0,0.9424452383536844,0.0012360974235245,0.9450623691082,0.9488744423724712,0.0012681232678208,0.9512357413768768,0.9362335594487377,0.0013412353783866,0.9392907619476318,0.9352765227395896,0.0039969967528655,0.9471153846153846,0.962335720367264,0.0016717041330097,0.9685871005058287,8.266470857112461,0.3309023332874689,8.404673099517822,0.8896647135416667,0.0057512689851366,0.9,0.8864583333333335,0.0071322250302948,0.9333333333333332,0.0166666666666666,0.0041887583602531,0.0,0.8190104166666667,0.0102926987681652,0.8666666666666667,0.1301432291666666,0.0088282004348465,0.0666666666666666,,,,,,,,,,,,,,,,0.0946747908100543,0.0042951968143449,0.0826075088711879,0.0373122832288654,0.0037053833393164,0.0228572257858531,0.0208858398021048,0.0033620508285435,0.0075331971399387,0.7943681254014348,0.0042839755078048,0.8009021991739144,0.5832913258039013,0.0061415200949249,0.5876868096166342,0.5762859900485605,0.0052069443042376,0.5705387205387207,0.3437002078998197,0.1291073519081555,0.0,552456.3669024582,261554.0,10.19603777926917,11.077337454367331,2.466005907991441,0.9514584780876632,0.4139044577719593,,,,,,,
